"safegraph_place_id","parent_safegraph_place_id","location_name","brands","latitude","longitude","street_address","city","region","postal_code","iso_country_code","polygon_wkt","polygon_class","includes_parking_lot","is_synthetic"
sg:af45f97c5e1b47efb339dc1d6ad2fe04,,Pennsylvania General Store,,39.953705,-75.158643,51 N 12th St Reading Terminal Market,Philadelphia,PA,19107,US,"POLYGON ((-75.161439 39.956038, -75.160445 39.955912, -75.159267 39.955763, -75.159272 39.95574, -75.158855 39.955687, -75.158848 39.95572, -75.158207 39.955639, -75.157989 39.955611, -75.157771 39.955584, -75.15777 39.95557, -75.157665 39.955556, -75.157669 39.955537, -75.157597 39.955527, -75.157675 39.955164, -75.157659 39.955162, -75.157668 39.955117, -75.157646 39.955114, -75.157663 39.955038, -75.157654 39.955011, -75.157675 39.954982, -75.157698 39.954872, -75.15769 39.954845, -75.157711 39.954819, -75.157734 39.954709, -75.157727 39.954679, -75.157747 39.954654, -75.15777 39.954545, -75.157762 39.954516, -75.157782 39.954491, -75.157806 39.954379, -75.157799 39.95435, -75.157819 39.954327, -75.157842 39.954217, -75.157835 39.954186, -75.157855 39.954162, -75.157871 39.954086, -75.157891 39.954089, -75.157904 39.954029, -75.157949 39.954034, -75.157958 39.953991, -75.157938 39.953988, -75.157905 39.953952, -75.157951 39.953926, -75.157972 39.953929, -75.157976 39.953912, -75.158133 39.953932, -75.158136 39.95392, -75.1582 39.953912, -75.158234 39.953922, -75.158256 39.953937, -75.158253 39.953948, -75.158336 39.953959, -75.158345 39.953916, -75.158637 39.953953, -75.158675 39.953778, -75.158425 39.953747, -75.158426 39.953746, -75.158613 39.95287, -75.158634 39.952773, -75.158695 39.952468, -75.159661 39.952594, -75.159601 39.952869, -75.159605 39.952869, -75.159591 39.952919, -75.159541 39.953144, -75.159534 39.95318, -75.159444 39.953594, -75.159392 39.953837, -75.159382 39.953869, -75.159117 39.953835, -75.15908 39.954008, -75.159221 39.954026, -75.15922 39.954029, -75.159295 39.954059, -75.159363 39.954078, -75.15936 39.95409, -75.15947 39.954104, -75.159473 39.954091, -75.159535 39.954092, -75.159629 39.954081, -75.15997 39.954124, -75.15996 39.954168, -75.160214 39.9542, -75.160232 39.954193, -75.160273 39.95419, -75.160308 39.954201, -75.160324 39.954214, -75.160572 39.954246, -75.160575 39.954236, -75.160602 39.954228, -75.160641 39.954227, -75.160675 39.954237, -75.160698 39.954252, -75.160696 39.954262, -75.160818 39.954278, -75.16082 39.954285, -75.160854 39.954289, -75.160852 39.9543, -75.160875 39.954303, -75.160907 39.95434, -75.160859 39.954366, -75.160839 39.954364, -75.160836 39.954378, -75.161109 39.954412, -75.161091 39.954402, -75.161052 39.954361, -75.161103 39.954335, -75.161122 39.954338, -75.161125 39.954323, -75.161262 39.95434, -75.161289 39.954326, -75.161332 39.954325, -75.161366 39.954335, -75.16139 39.95435, -75.161389 39.954358, -75.161648 39.954391, -75.161698 39.954384, -75.161744 39.954404, -75.162074 39.954446, -75.162096 39.954437, -75.162129 39.954437, -75.162156 39.954445, -75.162175 39.954462, -75.162438 39.954495, -75.162437 39.954501, -75.162567 39.954517, -75.162569 39.954508, -75.162632 39.954516, -75.162613 39.954612, -75.162651 39.954617, -75.162633 39.954702, -75.162639 39.954703, -75.162609 39.954829, -75.162789 39.954854, -75.162764 39.95495, -75.162786 39.954953, -75.162717 39.955276, -75.162625 39.955703, -75.162657 39.95571, -75.162605 39.955949, -75.162599 39.955959, -75.162508 39.955948, -75.162429 39.956078, -75.162193 39.956049, -75.162173 39.956132, -75.161675 39.956068, -75.161613 39.956061, -75.161439 39.956038))",SHARED_POLYGON,false,false
sg:c25425802f0341b798af9ed73887f65b,,Philadelphia Signs and Awnings,,39.950871,-75.158224,21 S 11th St,Philadelphia,PA,19107,US,"POLYGON ((-75.158382 39.951027, -75.158325 39.95102, -75.158327 39.951013, -75.15813 39.950989, -75.158173 39.950781, -75.158474 39.950817, -75.15843 39.951033, -75.158382 39.951027))",SHARED_POLYGON,false,false
sg:224cccac66174d48a51182eb5e6b2d32,,QQ Cafe,,39.97474,-75.152705,51 N 11th St,Philadelphia,PA,19107,US,"POLYGON ((-75.152666 39.974659, -75.152679 39.974598, -75.152789 39.974612, -75.152742 39.974834, -75.152632 39.974821, -75.152666 39.974659))",OWNED_POLYGON,false,false
sg:5d39f75b6dab4f7995d38f72bee267df,,Hilton Garden Inn,Hilton Garden Inn,39.953429,-75.157989,1100 Arch St,Philadelphia,PA,19107,US,"POLYGON ((-75.15830487012863 39.95374643637288, -75.15753507614136 39.953653912599584, -75.15763968229294 39.953203628449415, -75.15765309333801 39.95297951331543, -75.15772014856339 39.952847922435865, -75.15780329704285 39.95281091245536, -75.1585328578949 39.95290960569217, -75.15830487012863 39.95374643637288))",OWNED_POLYGON,,false
sg:893502a2af0e4620a0d8ad61c91a4db6,,Bubblefish,,39.953904,-75.155115,909 Arch St,Philadelphia,PA,19107,US,"POLYGON ((-75.154952 39.954282, -75.155015 39.954003, -75.155082 39.953699, -75.155127 39.953501, -75.155212 39.953512, -75.155134 39.953895, -75.155219 39.953908, -75.155221 39.953894, -75.155273 39.9539, -75.155185 39.954314, -75.154952 39.954282))",OWNED_POLYGON,false,false
sg:6ccee43d0b5646be866f2289705ae8b6,,Marc F Goldstein MD,,39.956355,-75.162348,205 N Broad St Ste 300,Philadelphia,PA,19107,US,"POLYGON ((-75.162185 39.956308, -75.162551 39.956353, -75.162527 39.956461, -75.162162 39.956414, -75.162185 39.956308))",SHARED_POLYGON,false,false
sg:57d24ed27d5644ff9f1512d0eccff8b8,,Secure Forensics,,39.950151,-75.162786,100 S Juniper St Fl 3,Philadelphia,PA,19107,US,"POLYGON ((-75.162922 39.950015, -75.162857 39.9503, -75.162658 39.950273, -75.162648 39.950267, -75.16271 39.949996, -75.162721 39.949988, -75.162922 39.950015))",SHARED_POLYGON,false,false
sg:ab51ffc52935428e8d38a1c6f7af7e41,,Get Healthy Philly,,39.951926,-75.158724,1101 Market St Fl 9 Aramark Building,Philadelphia,PA,19107,US,"POLYGON ((-75.15863 39.952772, -75.158201 39.952718, -75.158189 39.952716, -75.158225 39.952549, -75.15823 39.952549, -75.158307 39.952193, -75.158311 39.952189, -75.158338 39.952065, -75.158333 39.952047, -75.15837 39.951875, -75.158774 39.951926, -75.158801 39.951942, -75.158695 39.952468, -75.158634 39.952773, -75.15863 39.952772))",SHARED_POLYGON,false,false
sg:9f05a5d81a154b159bf3a83eb0db5341,,High End Car Stereo and Performance,,39.957882,-75.158366,305 N 12th St,Philadelphia,PA,19107,US,"POLYGON ((-75.158255 39.957912, -75.158229 39.957909, -75.15825 39.957808, -75.158498 39.95784, -75.158502 39.957854, -75.158484 39.957941, -75.158255 39.957912))",OWNED_POLYGON,false,false
sg:72bd5a650a844866b43f1c04636b2d4b,,Starbucks,Starbucks,39.945685,-75.164763,337 S Broad St # 341,Philadelphia,PA,19107,US,"POLYGON ((-75.164839 39.94579, -75.16464726256561 39.945769, -75.16468253372949 39.945582, -75.164882 39.945602, -75.164839 39.94579))",OWNED_POLYGON,,false
