visitor,home_geohash,home_cbg
79dde5efd43b2ee5d052e8cdec2a6471b82741470799b1b7a4d969386bc78ab5,dr47rvk,421010101001
01cb0ef901cbb63edbbfe8b8e0fa57ea8ceb29b09805a4cf2e4545e3b00d3df7,dr47xug,420912046004
b0b8d2e926d141458d6e83c4e8e46e9ac3f7373e6a3cb5f9c0c47c8b028e6ba6,dr47rtp,421010101006
26080c569e59a3159641e14a53c1bb57f3c327598ea8e8d2ee56a35d73f1069a,dr47rur,421010102001
f8b7fcb9b258f51c52985a43c761666c93adb8de05fec9e7274bd543d3c179f8,dr47rm8,421010098012
76c692c84bcfde66f9767b0f7ce4dc3067eedc55cd8d32972760a2d32ee2fa7e,dr47pbf,421010055003
d304b3dc303fbc0dbfe7f7544f5e19f1178d4d7e24f30423e8d4a0d13836af61,dr47r2t,420454003012
9fa526753308ca0ac27fa06270ea494018eeb01fc5bcd19fe654d8aaf831fed8,dr47rf5,421010083022
0eb64955688aba99bd8d754af7d9e2a772da62a007b163fddbabcaa0d1f0144a,dr47phe,420454016002
94218f46a8219cd7c3d372d30f0153bee919bf2af7b0e86924b17f228a41c631,dr47pdx,421010055001
940a130acf7b2c2f217395a6ed83629a46764d1a63763cb3ff50e72ea499a51b,dr47rbq,421010081012
5b860997cbc4f434b0ddf6bb323a7d8cdd108a759d78c7e9a2b56ef3fc54719d,dr47rbq,421010081012
674b841bd3c6bcaa5124f02d9e2ebd9938e3ba66d820eb44b150795d85a3685a,dr47rv4,421010101003
4ef7b128f5cf21267366a97a1ee40f65d2dcb1885f5b52c14499a93c6c9ee2fa,dr47ruy,421010112004
e3d7fee6f47914c65e94339205348274af148cc2e2fa740e689ff32bdf241cdd,dr47zgv,421010219001
68b68e7c0b1d4342d7c41122b52fb14ddf720ff10dd6a744901165996ccf4714,dr47rc4,421010083021
b6a8646294d6b9668686cfbcdbc162e3c378bc9b22c1944e1463afb04229b573,dr47ryz,421010118004
a44d27c4329016410a29db4cb8fc9a48692edfcdd6428792d282a006e667c49b,dr47p7n,420454025001
77fbf6c33488abdf0650006c21163f405407cb2a81838698840704466a31338f,dr47rcm,421010081023
77e83ea194e3df25e5bd6404b318e22232885320463c89eb32eb9626a18bacdd,dr47rfd,421010083022
f67a8823498520d75ae34914bd94c3f38f99c748fb9731cde457cb1c72526c55,dr47zvf,421010220001
d9a02e2881dd457b5069eb437a076b621981472fcf824105d1b932cfac7e5ab3,dr47pej,420454023003
58a96bad32395b546c92b6f28f05bfd7ed9195f298d300ca3c903874a697093b,dr47pft,421010060005
05c3d0fb3c1ab1a1bc47efec874624eb256bd0770d3b6baa3d470744743a86fe,dr47ry0,421010114005
384e8f04491fae6567cb99ff5808ab02935ba970ed6dbe70050356be9d9b828c,dr47qd6,420454011013
d1542d711b8cfd33f2160119c60e722aa18e2ff88f78522500d41e7dc2cf8ed0,dr47rt6,421010115004
a4934ee90d8f2506e4ce9b8690a592b540a5172b2a72ce90e88643a760c1d692,dr47pe7,420454023003
4490ac280c1d1c9156788da1e623d3cc55a815f02d660ca37de3e3e360f70bb3,dr47r9w,421010083013
c127ac2e0b3c082df1f3ce54303ad36d6928103cd3061b7da96ed0f1c15a893c,dr47rgw,421010095001
4b1f30ea1b4224097e7f1f28b4f1436d9b3701ed20c35dc1b5d43ff244c9020e,dr47rjy,421010098012
becffc5ce5a27c5e1cbbdebf31bbaab277891b7d062e21c7bf3a9cf93507e656,dr47r2w,420454003012
37b8c2cb5bc1bb893c9ce6ff31bde72e18858b0b074b10ac4646412e7677a4f2,dr47r3g,420454004012
50169a89b8043735ed7990f923fed32f1a31448808d1b227e23d1f6bcae1f9d8,dr47rew,421010100001
993e6b6c390debf763bced557e94a8469592b2bc18d944ff347bffaa6f47443f,dr47rc7,421010083024
0d0336ecf62bd991629f69fdc7d6d0d49cef85794b0d9557e18930c85d282678,dr47p62,420454031041
1d6382d9d3dec763d39607db93142e61dcf9a092e168657dccb93380af174bdf,dr47pf5,421010060004
5ed9724ad61eb63cf768bab725a98d0dbf517837a70d5e1a96570013d20963d1,dr47rbp,421010072006
a4d75770837abab4cd5d4f7f88f1145bd86c96c3970fe95e26f22b12ddb873f3,dr47pbf,421010055003
92bdded1d63156132e71e1d9ff91e38466617714397f5c99658bcde354857e47,dr47rt6,421010115004
c8324b7e573f4653767db1515352e588f9f51bb5d2c51b088c0e99dfcc2e205c,dr47rce,421010083024
573b668714e8a972499ed5e21bc59c7cd277b2aef282d08888b1ad633d4a8c98,dr47zyq,421010384002
fd7fd95a22509a9f09f9bc612e07aefe750038e3c82e84b2bb9410f5e3c5ceab,dr47pfx,421010062004
943c7fec9154bb45eee7ac9b8368936601afdf83d3d078a2761b6ab9d09e870f,dr47pxx,421010082004
4359e9e98e46672c7803531aa2143ad11f393fc96af5ec2541ae17b3449557b4,dr47rfh,421010084006
92800cd3006046541fe28e6f79058c034c7c96a54fc23803aea66cdb8630b07d,dr47pfx,421010062004
33276ae8c6ae67ea65e490b0bf2db67aa3bc8a3f1ec325ad6f11c295224ea702,dr47r9p,421010082005
5fed42f9cc4f3ca0fcabce950a66801be6d10d3caa4000598550b9913546fe67,dr47rcq,421010081023
3995e3140fa93039a2fdc0b6b1ef1f082d79b89540a9e5b6934df7ded578aead,dr47rvg,421010114003
020637aef30ec8c5c32b07f31c82f7436d497354977d306c0a554f0fd6c4ef83,dr47rur,421010102001
ebc46c705abbf9a5daf513e7e8cb313cf61e5fb25ff83f20dc36254929d9ccb7,dr47rtt,421010115003
0ce64a37c7e46c595e8e2ea7d857b723a248a6c8cc37bf2ac98e838576e9208d,dr47zgs,421010219001
82a014c6838e3f3fca749d63a44d2ba907edb700769271e79879c7f53a320370,dr47pu5,421010064003
bcdf8b1ff726cc3f4ea76c0afef55dc191e477af49640019147b405f048302cc,dr47rtd,421010115002
280deedeaf228d26671e0dac7bcb782eaef533e832f0036c14dc5576d569ca29,dr47rt1,421010115004
93224b306b3297794def305be91cd0b097c0797dea1c52925c3491206543911a,dr47zut,421010218001
9207da5df06511ae4bd60c0e2e77496536b13614c2ccbf82dce0b8be9eda8a8e,dr47pe1,420454025002
f5dbcaef8e1492a9f321cc9846f4ee6a277260acf2fe4439857b7ea3b0524adc,dr47rzx,421010118002
3eab6ef1f8c69422e7cb93cbb802f02acc1655063f1e90243936e055bd7ab437,dr47rtc,421010115002
0e539dd082d0ddb58b54fe7d044024791922381f583d7b9fcd100b344dd91d6c,dr47r5s,420454005001
37ff9ff9f0582ff3682d5953c8e70c37d5dc0fd9265b912db86849af33eff8f4,dr47rdr,421010083012
dcba6c371f9d1b8d7d7b45abc5d3efbc85c71223d452e1c02d392fc820cc25cb,dr47r1p,420454004024
4d228e124f975f41dd3d3e806ff30361cba0d5eb498d440a0ed31dbd1235660c,dr47r41,420454007003
3644c1a9b76ae9b1b288ef34cfeda4d0b28d3b80e658c785cb7d5b1d6deb6548,dr47rgh,421010095003
b48723948bf395c0cd244b06475e28c58227ca35552e4049b64cf89d9e62c39e,dr47q61,420454011032
