safegraph_place_id,latitude,longitude,location_name,street_address,raw_visit_counts,distance_from_home,weighted_visit_counts,count_home_cbgs,visits_top_10_hours
sg:03f9ca11569847b49257cb33e1e74bdd,39.92802800000001,-75.150486,Liberty Gas Station,274 Tasker St,15,,6780.0,1,1.2
sg:0fc85bc5a1424ad88cfbe98489dc7aec,39.958588,-75.22491,52nd Skyline Restaurant,47 S 52nd St,28,2251.0,574.0,3,1.3
sg:131f4f9c27ff4af7a0a610ce70275925,39.949911,-75.20021700000002,Univ of Penn,3800 Spruce St,47,5403.0,940.0,5,1.7
sg:16bda2651936448d99b2337ef52f1a86,40.072197,-75.033618,Burger King,2550 Welsh Rd,79,2281.0,948.0,14,3.1
sg:24b9302138194b1fa61bdb157b677f86,40.039961,-75.182668,Northwestern Human Services,123 W Tulpehocken St Apt W411,45,9914.0,11475.0,2,1.9
sg:317c699ccb3d4970b43fbec247bdb61b,40.02333,-75.163256,Chocolates By Esonkee,4607 Wayne Ave Fl 1,54,3260.0,4401.0,3,1.8
sg:4dd3c7c3553b4f568b0d05ba2220067c,40.045779,-75.079036,Ben Driving School,1206 Unruh Ave,17,12782.0,170.0,1,1.2
sg:55b210f317f4490da28d3f4407c1c6d6,39.952187,-75.185128,World Cafe Live,3025 Walnut St,20,5798.0,450.0,2,1.0
sg:95d6fe0cf18a493d8e6249e3c4f79fec,39.958392,-75.192819,Eds Buffalo Wings and Pizza,3513 Lancaster Ave,11,6962.0,264.0,4,1.1
sg:ddfb5c271cb44de1b29e71c2db7eb63c,40.047566,-75.15074399999997,A King's Cafe,6053 Ogontz Ave,16,2848.0,144.0,2,1.1
sg:ef3c6ffc63a645f58188651d64e3e954,39.978588,-75.16628,Philadelphia Fire Department Engine 27,1901 W Oxford St # 15,25,3281.0,2675.0,3,1.3
sg:f27f56f91dcd4bd3beaee5d6211134c7,39.974659,-75.167698,New Spring Baptist Church,1937 Ridge Ave,29,735.0,638.0,4,1.2
sg:04caaa5cfc92480e9c3e86bd23527ca8,39.940681,-75.155401,Cianfrani Park,721 S 08th St,11,348.0,462.0,1,1.1
sg:5795f41105a646babcda9f1deef0bd59,39.965487,-75.181671,Philadelphia Museum Of Art,2600 Benjamin Franklin Pkwy,34,3274.0,493.0,3,1.4
sg:840463443a834d5b973519faf2fd0585,39.950745,-75.143121,Jules Goldman Books and Antiques,29 N 2nd St,10,18931.0,770.0,1,1.0
sg:a6fafc3015574791b8c92de3e4384b3c,40.022991,-75.133178,Modern Age Furniture,4709 N 5th St,73,4318.0,7227.0,4,2.6
sg:b527b89064b74fc980226c1370a20f8c,39.92133,-75.177054,Goodfella's Vape Shop,1800 W Ritner St,32,4899.0,912.0,2,1.4
sg:b5fd52b260334c278719439ef1959aa7,40.039625,-75.109926,V N Fuel,402 Adams Ave,17,1743.0,136.0,2,1.2
sg:d894890a18f2465cb85e9b870bbfd3f7,40.104941,-75.02186400000002,Ascension Marthoma Church,10197 Northeast Ave,20,2024.0,1770.0,4,1.4
sg:45493cc411714603b9386549264f8508,39.9574,-75.18196,UGrowMedia,Cira Centre 2929 Arch St Ste 1700,41,27385.0,2296.0,7,1.4
sg:5a2af28141184c698220f55c6154faeb,40.006226,-75.128337,Allen Brothers Wholesale Distribution,120 W Erie Ave,15,3130.0,420.0,1,1.1
sg:742859488f4948eba798dad18c70ef75,40.061397,-75.083363,Chuck's Alibi,7301 Oxford Ave,14,4114.0,10745.0,1,1.0
sg:7c49e48e11f447e1892fd50f2ee81450,40.051781,-75.179635,Chay La Ree's,6492 Musgrave St,38,6469.0,11571.0,4,1.7
sg:989d204369eb4b44be3fad617267d133,40.032401,-75.04095799999997,Mullin Playground,4301 Princeton Ave,79,4640.0,6952.0,5,2.3
sg:b6225cdddd5c4ec4acba2e6d51c26f15,39.962283,-75.172402,Unit Su Vege,2000 Hamilton St Ste 106,14,4999.0,161.0,3,1.2
sg:b83dd84a46b04df0a2fe699d496f2ee6,39.989502,-75.139115,True Light Pentecostal Church,2530 N 4th St,13,,1248.0,1,1.0
sg:d0ed5719737044a48c87726d5962d093,39.951872,-75.172855,Veda Modern Indian Bistro,1920 Chestnut St,10,7702.0,460.0,1,1.0
